"x","y","elevasi"
438726.346217921,9546298.87594659,52.7123756408691
469609.987648505,9565984.86252958,48.2307090759277
469809.344128961,9564115.93975272,45.7488784790039
435295.753450081,9555527.20130258,61.5220985412598
469859.183249075,9559829.8768511,36.6656913757324
443843.162549616,9549538.34209316,59.1551551818848
439980.630740788,9529387.20139681,80.1265106201172
470498.785290536,9537037.32529678,82.3914337158203
419446.913253859,9522127.47469912,115.917991638184
441550.563024376,9562537.7382967,46.0859870910644
465165.999438348,9530599.92462091,80.4474639892578
451767.582647727,9533772.94017986,57.7190780639648
465946.812320133,9549646.32429804,44.8079833984375
453570.097491846,9570968.65660123,35.7741889953613
435453.577330441,9539720.26777202,78.6387481689453
462375.00871197,9589666.19069334,22.6498794555664
466902.062122316,9572131.54188461,28.269962310791
444623.9754314,9567754.10942502,53.7658386230469
447115.931437095,9556224.93247261,53.3881645202637
440329.504581585,9531455.47593654,71.9909896850586
434490.021008239,9530799.27638378,76.1269836425781
456477.379498491,9571242.76527517,35.3293380737305
446858.429316507,9555900.98585796,42.5773239135742
452565.008569549,9542203.85848439,74.7615585327148
427246.735551685,9545028.00845832,77.7470474243164
479694.102951552,9554189.88322669,48.0189743041992
465788.988439772,9536214.99927496,83.417724609375
428550.859194665,9528930.35360691,91.4119110107422
415094.296763911,9529835.74286326,91.6592254638672
472093.637134181,9586900.18498358,34.6717910766602
429788.530677494,9549530.0357697,64.318244934082
433136.058245145,9537303.12764727,76.955322265625
475341.486461604,9582223.72487969,28.6293621063232
443029.123587755,9546813.86800066,53.0855407714844
441533.949984338,9557080.48378825,51.8870315551758
432571.214883854,9535342.83531243,96.2619018554688
450330.554684442,9556166.78820845,41.5636444091797
453736.227892226,9574224.7353947,33.394229888916
461145.64374916,9568833.93147387,59.9650039672852
457889.487901718,9540359.85467788,51.9953994750977
426009.064068856,9540908.07202576,75.1944274902344
418209.24177103,9507375.44424705,116.94847869873
427163.670351495,9519137.19825613,87.2798309326172
472359.445774789,9579756.74681422,42.3344917297363
429805.143717532,9522335.13278544,78.9644088745117
476728.675304775,9581384.78621096,39.3520545959473
450380.393804556,9550485.26296677,45.8086395263672
428517.633114589,9528373.82993558,83.3771057128906
417278.911528904,9514161.71050794,100.671440124512
427578.996352444,9554696.56895731,45.8672332763672
446044.390354646,9559904.63376218,43.3444366455078
464866.964717665,9575462.37758916,33.1190605163574
427761.739792862,9527202.63832874,81.7882614135742
470656.609170897,9540924.68467266,53.795825958252
